"id","textDisplay","authorDisplayName","publishedAt"
"UgyJNR1UP9li00IUpgF4AaABAg","We hope you enjoyed that video! Here&#39;s some useful language for talking about regrets 👉<a href=""https://www.youtube.com/watch?v=CV5i4U9srrs"">https://youtu.be/CV5i4U9srrs</a>","@bbclearningenglish","2023-06-15T09:35:36Z"
"UgyEDPGimWOC5r9yAgR4AaABAg","Hi im from tashkent","@user-hm2nn2kj1t","2024-03-24T09:33:59Z"
"UgyHS_LvPsrGhG9iOYd4AaABAg","Enjoyed episode 🎉","@fayezhamlaoui1153","2024-03-23T11:20:14Z"
"Ugwyb2XOMUenBPrQKiN4AaABAg","I&#39;m from Bangladesh","@hmrayhanalhanafi5445","2024-03-23T07:15:13Z"
"UgxE8QVz_rU_l6jePL94AaABAg","From Uzbekistan ❤","@MuhsinaAbduvaliyeva","2024-03-22T11:55:41Z"
"UgwRM9NRHxXEgJAMT414AaABAg","I&#39;m Japanese🔥","@i.c9350","2024-03-21T12:40:41Z"
"UgyUbutu7MmKMNO4vp94AaABAg","Hello ❤ from Uzbekistan","@AbdigafurBusinessman-oz8ji","2024-03-20T20:11:30Z"
"UgydNBb3u16L3kqwZA54AaABAg","i am from tunisie","@AdamHasnaoui-ne5lz","2024-03-20T12:41:06Z"
"Ugw3g2ULuZz6uxtp4Pl4AaABAg","I&#39;m from Bangladesh 🇧🇩","@meherab9754","2024-03-19T10:16:38Z"
"UgzSpbAG3Df78r6nM-x4AaABAg","Hello.I&#39;m from Uzbekistan.I want to speak english.I&#39;m only beginer","@sabriston5437","2024-03-19T08:16:26Z"
"UgxvpIXcBgacpY1AtJd4AaABAg","One day dream comes true","@sunitakumari288","2024-03-18T16:53:41Z"
"Ugzhg7R1ggRqJSJPfn94AaABAg","I&#39;m Uzbek <br>I live in Khiva <br>Who know Khiva ?","@User_rustamov_official","2024-03-18T12:56:56Z"
"UgzAD-gvCu6xIuGj7dJ4AaABAg","Very beneficial podcast thank bbs","@user-li8pl5lf8d","2024-03-17T17:39:38Z"
"Ugyy6IUsvr7KVYYUHkZ4AaABAg","i&#39;m from Myanmar","@ngengethein1732","2024-03-17T06:34:05Z"
"UgykwIXqmg-lfM0Nz_t4AaABAg","BBC English you are the best ,I am Suha from Jordan 😊","@roseadam7946","2024-03-17T04:34:59Z"
"Ugw7XkzXpJtCRK-YeLl4AaABAg","Im from Tajikistan","@khdxhjgcdjnarh","2024-03-16T14:10:05Z"
"Ugykl1KOTtOQnz313hh4AaABAg","Hello everyone. I&#39;m from Uzbekistan","@javohirabdunazarov7784","2024-03-15T17:27:41Z"
"UgyTiTpPdlFNNHbRwD54AaABAg","bu kanalın amacını anlamadım yardımcı olur musunuz? ingilizce mi öğretmeye çalışıyor? eğer öyleyse sadece ingilizce sözler dinleyerek ingilizce öğrenilir mi bu etkili bir yöntem mi yazar mısınız?","@yaksklserdar7745","2024-03-13T21:25:55Z"
"Ugy_CsBaysYXdTHWJJd4AaABAg","Hello, from ARGENTINA 🇦🇷","@AugustoIgarzabal","2024-03-13T18:12:07Z"
"UgwXRWpVlTgrFpDXQaJ4AaABAg","Help! English is pretty hard 😢 I feel lost.","@manuelluna5695","2024-03-12T22:58:14Z"
"UgyIxNEPpGNwmgL_eLZ4AaABAg","Hi. Iʼm from Uzbekistan","@user-ep6fw9ny1e","2024-03-12T16:54:20Z"
"Ugw0FrSRzvgXKiaTUXh4AaABAg","I wish it had English subtitles","@elnurbayramov6555","2024-03-12T02:33:36Z"
"Ugx05tvPzgCBZLOK-I94AaABAg","Form Bangladesh 🇧🇩","@aynatsaimon87","2024-03-11T15:22:58Z"
